IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.59.188,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,216,11.38
8.219.228.30,8443,8443,TRUE,SIN,Asia Pacific,Singapore,128,11.37
8.222.144.117,2096,2096,TRUE,SIN,Asia Pacific,Singapore,91,11.37
8.219.193.22,2053,2053,TRUE,SIN,Asia Pacific,Singapore,119,11.37
47.74.60.230,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,295,11.37
8.219.230.254,2087,2087,TRUE,SIN,Asia Pacific,Singapore,163,11.37
47.236.71.226,2083,2083,TRUE,SIN,Asia Pacific,Singapore,238,11.36
47.236.92.191,2053,2053,TRUE,SIN,Asia Pacific,Singapore,111,11.36
47.74.8.238,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,93,11.36
47.74.9.174,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,169,11.36
47.245.4.219,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,216,11.36
47.74.46.84,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,132,11.35
47.236.171.205,8443,8443,TRUE,SIN,Asia Pacific,Singapore,101,11.35
47.74.11.9,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,133,11.34
8.219.245.232,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,297,11.34
47.245.41.84,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,75,11.34
47.91.16.198,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,74,11.34
8.219.174.213,2087,2087,TRUE,SIN,Asia Pacific,Singapore,156,11.34
47.245.38.233,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,293,11.33
47.91.18.207,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,113,11.33
8.219.217.81,2096,2096,TRUE,SIN,Asia Pacific,Singapore,171,11.33
8.209.214.222,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,84,11.33
8.219.245.187,2096,2096,TRUE,SIN,Asia Pacific,Singapore,84,11.32
8.219.228.193,2087,2087,TRUE,SIN,Asia Pacific,Singapore,158,11.32
8.219.210.64,2087,2087,TRUE,SIN,Asia Pacific,Singapore,150,11.32
8.219.245.187,443,443,TRUE,SIN,Asia Pacific,Singapore,216,11.32
